Results_Name,VSPAERO_History,,,,
CFz,0.59703,0.61839,0.62009,0.61876,0.61743
CL,0.59921,0.62061,0.62227,0.62096,0.61964
CMx,0.00612,0.00079,0.00026,0.0001,0.00002
CMy,0.34676,0.34935,0.35161,0.35524,0.35923
CMz,0.00256,-0.00008,-0.00001,-0.00006,-0.00002
CS,0.001,0.00017,0.00002,-0.00004,-0.00004
E,0.93988,0.96305,0.95453,0.9577,0.96065
FC_AoA_,7.692308,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,8.45684,8.60715,8.58592,8.59116,8.59567
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.02173,0.02294,0.02303,0.02292,0.0228
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,8.20513,8.20513,8.20513,8.20513,8.20513
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.02744,0.02851,0.02906,0.02899,0.02883
CDo,0.04705,0.04717,0.04719,0.04719,0.04719
CDtot,0.07449,0.07568,0.07625,0.07619,0.07602
CDtrefftz,0,0,0,0,0
CFx,-0.06429,-0.06605,-0.06601,-0.06604,-0.06602
CFy,0.00115,0.00033,0.00015,0.00004,-0.00003
CFz,0.63815,0.65786,0.6614,0.6611,0.65991
CL,0.64079,0.66055,0.66405,0.66376,0.66258
CMx,0.00666,0.00132,0.00042,0.00007,0
CMy,0.36959,0.3696,0.37281,0.3773,0.37976
CMz,0.00013,0.00015,-0.00005,-0.00001,-0.00006
CS,0.00115,0.00033,0.00015,0.00004,-0.00003
E,0.9412,0.96259,0.95443,0.95581,0.95769
FC_AoA_,8.205128,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
