Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
225.541,9.55,,225.541,69.99,,225.541,101.03,,225.541,41.49,,225.541,32.83,,225.541,91.63,,225.541,-3.43,,225.541,21.79,,225.541,225.35,,225.541,32.24,,225.541,204.61
225.808,-53.13,,225.808,-67.9,,225.808,90.29,,225.808,-46.26,,225.808,61.49,,225.808,-53.43,,225.808,-51.79,,225.808,-31.94,,225.808,262.96,,225.808,-46.56,,225.808,245.8
226.075,43.58,,226.075,28.8,,226.075,97.45,,226.075,79.1,,226.075,47.16,,226.075,7.46,,226.075,3.73,,226.075,46.86,,226.075,261.17,,226.075,30.44,,226.075,308.48
226.342,25.67,,226.342,-33.88,,226.342,50.89,,226.342,-26.56,,226.342,-62.08,,226.342,45.07,,226.342,-50,,226.342,84.47,,226.342,288.03,,226.342,17.91,,226.342,201.02
226.609,7.76,,226.609,-5.22,,226.609,47.31,,226.609,-78.5,,226.609,-19.1,,226.609,59.4,,226.609,71.78,,226.609,-69.55,,226.609,259.38,,226.609,-39.4,,226.609,279.82
226.875,-2.98,,226.875,34.18,,226.875,74.17,,226.875,50.44,,226.875,13.13,,226.875,-17.61,,226.875,39.55,,226.875,61.19,,226.875,219.98,,226.875,51.94,,226.875,260.12
227.142,93.72,,227.142,78.95,,227.142,61.64,,227.142,88.05,,227.142,5.97,,227.142,113.12,,227.142,62.83,,227.142,91.63,,227.142,366.83,,227.142,51.94,,227.142,272.66
227.409,-29.85,,227.409,120.14,,227.409,22.24,,227.409,-28.36,,227.409,-8.36,,227.409,93.42,,227.409,35.97,,227.409,2.09,,227.409,245.05,,227.409,16.12,,227.409,175.95
227.676,122.38,,227.676,114.76,,227.676,199.53,,227.676,102.38,,227.676,99.09,,227.676,141.78,,227.676,59.25,,227.676,123.87,,227.676,318.48,,227.676,69.84,,227.676,387.28
227.942,34.62,,227.942,18.06,,227.942,111.78,,227.942,21.79,,227.942,31.04,,227.942,105.96,,227.942,48.5,,227.942,125.66,,227.942,325.64,,227.942,-5.37,,227.942,333.55
228.209,-38.8,,228.209,84.32,,228.209,16.86,,228.209,-53.43,,228.209,32.83,,228.209,-22.98,,228.209,-21.34,,228.209,-19.4,,228.209,280.87,,228.209,-69.84,,228.209,283.4
228.476,-15.52,,228.476,48.5,,228.476,115.36,,228.476,80.89,,228.476,29.25,,228.476,-24.77,,228.476,52.08,,228.476,-5.07,,228.476,261.17,,228.476,-1.79,,228.476,240.42
228.742,-33.43,,228.742,-30.3,,228.742,41.94,,228.742,-89.24,,228.742,50.74,,228.742,11.04,,228.742,41.34,,228.742,32.53,,228.742,221.77,,228.742,-16.12,,228.742,238.63
229.009,70.44,,229.009,62.83,,229.009,54.47,,229.009,41.49,,229.009,-10.15,,229.009,54.02,,229.009,28.8,,229.009,-21.19,,229.009,252.21,,229.009,-10.75,,229.009,269.08
